id|name|lat|lon|address|price-from|price-to|readyDate|type|class|car-distance|car-time|description|developer|site
60|"Анненский лес"|"56.431512612629305"|"36.9915246963501"|""|"null"|"null"|"null"|"Дачный поселок"|"null"|"110"|"1:37"|""|""|""
61|"Антоновка"|"55.573514673362205"|"37.41542868464967"|""|"null"|"null"|"null"|"КП"|"null"|"31"|"0:43"|""|""|""
62|"Антоновка 1"|"55.60613352485814"|"38.52127095396736"|""|"null"|"null"|"null"|"КП"|"null"|"68"|"1:26"|""|""|""
63|"Антоновка 2"|"55.60945233632322"|"38.52147906890866"|""|"null"|"null"|"null"|"КП"|"null"|"68"|"1:27"|""|""|""
64|"Антоновские усадьбы"|"56.47257711137983"|"37.85965048018795"|""|"null"|"null"|"null"|"КП"|"null"|"100"|"1:36"|""|""|""
65|"Анютины глазки"|"56.08801358735578"|"36.58872670972903"|""|"null"|"null"|"null"|"КП"|"null"|"110"|"1:29"|""|""|""
66|"Апрелевка парк"|"55.52251"|"37.06695"|"Московская обл, Наро-Фоминский р-н, Мартемьяново д"|"8800000"|"null"|"2016"|"КП"|"бизнес"|"46"|"0:48"|"Коттеджный посёлок бизнес-класса «Апрелевка парк» возводится в Наро-Фоминском районе Московской области недалеко от посёлка Мартемьяново, в 31 километре от МКАД по Киевскому шоссе. Площадь посёлка составляет 30 гектар. Застройщиком проекта выступила компания «Kaskad». Коттеджи и участки Посёлок размежеван на участки площадью от 2 до 27 соток. Покупателям предлагаются коттеджи и таунхаусы площадью от 124 до 210 м. кв. Цены на предложения в КП «Апрелевка парк» начинаются от 8 800 000 руб. за участок с домом."|"Kaskad Family"|""
67|"Апрелевка Таун"|"55.521440072103914"|"37.084007263183594"|""|"null"|"null"|"null"|"КП"|"null"|"48"|"0:51"|""|""|""
68|"Апрельская мелодия"|"55.545326244905304"|"37.08364248275757"|""|"null"|"null"|"null"|"Жилой квартал"|"null"|"45"|"0:47"|""|""|""
69|"Аргуново 1"|"55.356526191003525"|"38.47695350646973"|""|"null"|"null"|"null"|"Дачный поселок"|"null"|"100"|"1:40"|""|""|""
70|"Аркашино"|"56.270239475533195"|"39.084205627441406"|""|"null"|"null"|"null"|"Дачный поселок"|"null"|"130"|"2:9"|""|""|""
71|"Арнеево"|"54.970293"|"37.573393"|"Московская обл, Серпуховский р-н, Арнеево д"|"1900000"|"2500000"|"2012"|"КП"|"эконом"|"94"|"1:16"|"Коттеджный посёлок комфрт-класса Арнеево построен в Серпуховском районе Московской области недалеко от посёлка Арнеево, в 74 километрах от МКАД по Симферопольскому шоссе. Площадь посёлка составляет 57.71 гектар. Застройщиком проекта выступила компания «Арнеево». Коттеджи и участки Посёлок размежеван на 177 участков площадью от 8 до 22 соток. Покупателям предлагаются участки без подряда и коттеджи площадью от 90 до 250 м. кв. Цены на предложения в КП Арнеево начинаются от 1 850 000 руб. за участок. Как купить Всю актуальную информацию о покупке домовладений и участков в коттеджном посёлке Арнеево можно узнать связавшись со специалистом застройщика по указанному на этой странице номеру телефона."|"Арнеево"|""
